Title,Release Year,Parent Rating,genre,Summary,Writers,Stars,Direcctor
Second Act,,,Drama,,"See writer, See producer",See preliminary cast,See company contact information
Second Act,2019– ,,Short,"Mailchimp Presents Second Act, which follows five people who've chosen a new direction in their careers, discovering their passions and defining their own version of success.",,"Alex Reza, Marinel De Jesus, Deborah Jones",
Second Act,2010– ,,Biography,,,,
Simmba,2018,Not Rated,"Action, Comedy, Crime","Simmba, a Corrupt Officer, enjoys all the perks of being an immoral and unethical police officer until a life-changing event forces him to choose the righteous path.","Puri Jagannadh, Vakkantham Vamsi, Yunus Sajawal","Ranveer Singh, Sara Ali Khan, Sonu Sood",Rohit Shetty
Savior,2015,,"Crime, Drama",The story follows a troubled homeless young man in his journey into the crime world.,"Chris Matrone, Charles Marinaro","Greg Genute, Liz Chuday, Melanie Raeven",Charles Marinaro
The Sun Is Also a Star,2019,15,"Drama, Music, Romance",A hopeless romantic ambivalent about his future in medical school falls for a hard-luck young woman who doesn't believe in love.,"Tracy Oliver, Nicola Yoon","Yara Shahidi, Anais Lee, Charles Melton",Ry Russo-Young
The Secret Life of Pets,2016,PG,"Animation, Adventure, Comedy","The quiet life of a terrier named Max is upended when his owner takes in Duke, a stray whom Max instantly dislikes.","Cinco Paul, Ken Daurio, Brian Lynch","Louis C.K., Eric Stonestreet, Kevin Hart",Chris Renaud
Special Jollof,2020,,Drama,"Rachel Hudson was living the life. With a loving fiance, a successful and thriving journalism career, everything for her was just perfect. - Until a shocking discovery sends her perfect life shattering before her eyes, giving rise to a grudge against immigrants who she holds responsible for her woes. As her revenge, Rachel is determined to expose illegal immigrants an... Read all","Anthony Kehinde Joseph, Rita Onwurah","Joseph Benjamin, Merlisa Determined, Uche Jombo",Emem Isong
Star Wars: Episode IX - The Rise of Skywalker,2019,12A,"Action, Adventure, Fantasy","In the riveting conclusion of the landmark Skywalker saga, new legends will be born-and the final battle for freedom is yet to come.","Chris Terrio, J.J. Abrams, Derek Connolly","Daisy Ridley, John Boyega, Oscar Isaac",J.J. Abrams
The Set Up,2019– ,,Comedy,"College student Mia Weber (Hannah Stocking) is sent to play volleyball on the world's worst team after getting busted for a crime at her university. Now it's up to her to turn the terrible ""B Team"" into winners so she can keep her stats up. Hannah Stocking stars in this underdog comedy about unlikely friendship and making the most out of a losing situation.",,"Hannah Stocking, Rachael Meyers, Hannah Ward",
The Sky Is Pink,2019,,"Drama, Romance","Based on the love story of a couple spanning 25 years and told through the lens of their spunky teenage daughter Aisha Chaudhary, who was diagnosed with pulmonary fibrosis.","Shonali Bose, Juhi Chaturvedi, Nilesh Maniyar","Priyanka Chopra Jonas, Farhan Akhtar, Zaira Wasim",Shonali Bose
A Soldier's Story 2: Return from the Dead,2020,,Action,"In Watz Republic, Regina (Linda Ejiofor) confides in her friend, Zaya (Somkele Idhalama) to look after her younger brother while she goes after the desires of her heart to be with Major Egan (Tope Tedela).",Frankie Ogar,"Eric Roberts, John J. Vogel, Daniel K. Daniel",Frankie Ogar
Sub sahara,2022,,Family,,,"Adebiyi Adetola, Ebenezer Akachukwu, Sophie Alakija",
Snake Eyes: G.I. Joe Origins,2021,PG-13,"Action, Adventure, Crime",A G.I. Joe spin-off centered around the character of Snake Eyes.,"Evan Spiliotopoulos, Joe Shrapnel, Anna Waterhouse","Henry Golding, Andrew Koji, Haruka Abe",Robert Schwentke
The Suicide Squad,2021,R,"Action, Adventure, Comedy","Supervillains Harley Quinn, Bloodsport, Peacemaker and a collection of nutty cons at Belle Reve prison join the super-secret, super-shady Task Force X as they are dropped off at the remote, enemy-infused island of Corto Maltese.",James Gunn,"Margot Robbie, Idris Elba, John Cena",James Gunn
Shang-Chi and the Legend of the Ten Rings,2021,PG-13,"Action, Adventure, Fantasy","Shang-Chi, the master of weaponry-based Kung Fu, is forced to confront his past after being drawn into the Ten Rings organization.","Dave Callaham, Destin Daniel Cretton, Andrew Lanham","Simu Liu, Awkwafina, Tony Chiu-Wai Leung",Destin Daniel Cretton
Soólè,,,"Comedy, Thriller",A group of travellers on a bus journey home for Christmas find themselves entangled in a cat-and-mouse game with dangerous criminals.,"Kayode Kasum, Stephen Okonkwo","Adunni Ade, Lateef Adedimeji, Mike Afolarin",Kayode Kasum
[k]PALI,2019,,Drama,,Ebele Enebeli,"Ade Adefeko, Gloria Anozie, Uzor Arukwe",Ladipo Johnson
Up North,2018,,Drama,"Up North explores love, friendship, and family politics, which all collide when the rebellious young scion of a wealthy family is sent away to National Service in Northern Nigeria. Through many mishaps and the creation of many memories, the spoiled hero finally starts to find himself.","Bunmi Ajakaiye, Chinaza Onuzo","Adzi Adamu, Rekiya Attah, Nafeesa Butu",Tope Oshin
Up North,2016– ,,Comedy,Two neighbours show us how society live up north.,,"Dean Sills, Steve Call, Keiron Goodwin",
Up North,2021,,Documentary,"Joackim Guichard, a former professional surfer looking for a new start, a meaningful life, his true north.",Rodrigo Zan,Joackim Guichard,Rodrigo Zan
Up North,2017– ,,Drama,,,"Jiovanni Leroux, Kim Akia, Shauna Blaize",
Up North,2004,Not Rated,"Comedy, Horror",A shady drug addict accountant brings friends up to his bosses cabin for the weekend for a little vacation. As they attempt to have a good time an underage psychopath killer stalks them.,"Braden Palmer, Brandon Van Vliet","Brandon Van Vliet, Evelynda Miller, Jessica Van Vliet",Brandon Van Vliet
Up North,2009,,"Documentary, Adventure, History","Our environment and culture have been linked to our evolution since the dawn of civilization. In the summer of 2007, three adventurers set out on a journey across the north into the Arctic Circle, in exploration of the impact change has on the landscape and people's lives. Through conversations with First Nations Chiefs, Elders, comedians, artists, dancers and mountai... Read all",,"Drew Mcintosh, Aaron Bocanegra",
Up North,2013– ,,Comedy,"Comedy series about 4 girls living in North Hollywood each with different aspirations of filmmaking, acting, school, and singing; and what obstacles they face as teenagers/young adults in the big City of Angels.",,"Ally Taylor, Lia Joelle, Dana Mauro",
The Upside,2017,12A,"Comedy, Drama",A comedic look at the relationship between a wealthy man with quadriplegia and an unemployed man with a criminal record who's hired to help him.,"Jon Hartmere, Éric Toledano, Olivier Nakache","Kevin Hart, Bryan Cranston, Nicole Kidman",Neil Burger
UglyDolls,2019,PG,"Animation, Adventure, Comedy","An animated adventure in which the free-spirited UglyDolls confront what it means to be different, struggle with a desire to be loved, and ultimately discover who you truly are is what matters most.","Alison Peck, Robert Rodriguez, David Horvath","Kelly Clarkson, Nick Jonas, Janelle Monáe",Kelly Asbury
Baby Steps,2015,TV-MA,"Comedy, Drama, Family","Danny, a Taiwanese-American man, and his partner Tate long to have a baby, but the complex world of international surrogacy is further complicated by Danny's well-meaning but extremely meddlesome Ma who wants to control every aspect of the process all the way from Taipei...",Barney Cheng,"Tzi Ma, Nadège August, Ellyn Jameson",Barney Cheng
Terra Willy: Planète inconnue,2019,PG,"Animation, Adventure, Comedy","Upon the destruction of their ship, Willy is separated from his parents. He lands on a wild and unexplored planet and with the help of Buck, a survival robot, he will have to hold until the arrival of a rescue mission.","David Alaux, Eric Tosti, Jean-François Tosti","Landen Beattie, Jason Anthony, Laura Post",Eric Tosti
Beibî suteppu,2014–2015,,"Animation, Comedy, Romance","Maruo Eiichirou (Ei-Chan), a first year honor student, one day decides he's unhappy with the way things are and lacks exercise. He finds a flyer for the Tennis Club and decides to check it out. He's instantly captivated by it. With no prior experience and poor physical conditioning, join Ei-Chan as he embarks on a tennis journey using his smarts, dedication, and work ... Read all",,"Asami Seto, Tomoaki Maeno, Tetsuya Kakihara",
Baby Steps,2014,,"Comedy, Drama",An amateur film crew documents the highs and lows of a young couple trying to have a baby.,,"Christian Tribuzio, Maria Asofiei, Evan Henderson",
Baby Steps,,,Drama,"Drama. A year after the death of their beloved Lily, Beau and Caden learn that she froze some of her eggs and they must decide whether they are ready to take the next step in their relationship and become parents. This is a sequel to the 2019 movie ""Say Yes.""",Stewart Wade,"Alexandra Paul, Alec Mapa, Stefanie Estes",Stewart Wade
Baby Steps,2018,,"Short, Drama",Eve channels her frustration with the injustice in the world through her art. It is only until she completely exhausts herself that she is able to see that finding peace is closer than she thought.,Isabelle Schuler,"Giusy Pappalardo, Isabelle Schuler, Rachel Smith",Martha Reed
Baby Steps,2019,,"Short, Comedy","Nell Gold, a staunch feminist, promises to be back at work in full force when her four-month maternity leave is over. But when the time comes, she has a panic attack and quits. After listening to stay-at-home-moms swap war stories, Nell doesn't fee like she belongs at home either. Where does she belong?",Dava Krause,"Jeanine Bartel, Flora Diaz, Suni Reyes",Fia Perera
Baby Steps,2019– ,,Comedy,In this mockumentary you will follow Gladys and her dysfunctional family as they deal with a drunk baby and an unexpected visit from a social worker.,,"Ann Bradford, Aaron Gamelli, Amy Wajda",
Baby Steps,1999–2003,,News,Magazine style show about raising children from 0-5 years.,,Janet Sawyer,
Njan Prakashan,2018,Not Rated,"Comedy, Drama","Pining for a lavish life abroad, a lazy but lovable guy next door crafts a scam to avoid a career in nursing and find a wealthy spouse to secure a visa.","Sathyan Anthikad, Sreenivasan","Fahadh Faasil, Sreenivasan, Nikhila Vimal",Sathyan Anthikad
Uri: The Surgical Strike,2019,Not Rated,"Action, Drama, History","Indian army special forces execute a covert operation, avenging the killing of fellow army men at their base by a terrorist group.",Aditya Dhar,"Vicky Kaushal, Paresh Rawal, Mohit Raina",Aditya Dhar
Glass,2019,15,"Drama, Horror, Sci-Fi","Security guard David Dunn uses his supernatural abilities to track Kevin Wendell Crumb, a disturbed man who has twenty-four personalities.",M. Night Shyamalan,"James McAvoy, Bruce Willis, Samuel L. Jackson",M. Night Shyamalan
The Gentlemen,2019,R,"Action, Comedy, Crime","An American expat tries to sell off his highly profitable marijuana empire in London, triggering plots, schemes, bribery and blackmail in an attempt to steal his domain out from under him.","Guy Ritchie, Ivan Atkinson, Marn Davies","Matthew McConaughey, Charlie Hunnam, Michelle Dockery",Guy Ritchie
Light in the Dark,2020,TV-14,Thriller,"In the face of unspeakable pain, a couple must find a way to live and love again","Ekene Som Mekwunye, Babatunde Ojo","Doddy Abili, Bimbo Ademoye, Marie Awolaja",Ekene Som Mekwunye
Manikarnika: The Queen of Jhansi,2019,Not Rated,"Action, Biography, Drama","Story of Rani Lakshmibai, one of the leading figures of the Indian Rebellion of 1857, and her resistance to the British Rule.","Vijayendra Prasad, Prasoon Joshi","Kangana Ranaut, Danny Denzongpa, Suresh Oberoi",Radha Krishna Jagarlamudi
Spider-Man: Into the Spider-Verse,2018,PG,"Animation, Action, Adventure","Teen Miles Morales becomes the Spider-Man of his universe, and must join with five spider-powered individuals from other dimensions to stop a threat for all realities.","Phil Lord, Rodney Rothman","Shameik Moore, Jake Johnson, Hailee Steinfeld",Bob Persichetti
Thackeray,2019,Not Rated,"Biography, Drama","From controversial cartoonist to powerful Mumbai politician, this biopic maps the meteoric rise of far-right Shiv Sena party founder, Bal Thackeray.",Abhijit Panse,"Nawazuddin Siddiqui, Amrita Rao, Prakash Belawadi",Abhijit Panse
Thackeray,,,Action,,,Prajwal Devaraj,
Ek Ladki Ko Dekha Toh Aisa Laga,2019,,"Comedy, Crime, Drama","The film tells the story of closeted lesbian Sweety Chaudhary and her attempts to come out to her conservative, traditional family.","Shelly Chopra Dhar, Gazal Dhaliwal, P.G. Wodehouse","Sonam Kapoor, Anil Kapoor, Rajkummar Rao",Shelly Chopra Dhar
Escape Room,2019,15,"Action, Adventure, Horror",Six strangers find themselves in a maze of deadly mystery rooms and must use their wits to survive.,"Bragi F. Schut, Maria Melnik","Taylor Russell, Logan Miller, Jay Ellis",Adam Robitel
Escape Room,2017,R,"Horror, Thriller",Six friends test their intelligence when an escape room they participate in takes a dark and twisted turn.,"Will Wernick, Noah Dorsey","Evan Williams, Annabelle Stephenson, Elisabeth Hower",Will Wernick
Escape Room,2017,R,Horror,"Unaware that the employee paid to scare them has been possessed by a demon, four friends must overcome their rising terror and find the way out of the escape room before it's too late.",Peter Dukes,"Skeet Ulrich, Sean Young, Christine Donlon",Peter Dukes
How to Train Your Dragon 3: The Hidden World,2019,G,"Animation, Action, Adventure","When Hiccup discovers Toothless isn't the only Night Fury, he must seek ""The Hidden World"", a secret Dragon Utopia before a hired tyrant named Grimmel finds it first.","Dean DeBlois, Cressida Cowell","Jay Baruchel, America Ferrera, F. Murray Abraham",Dean DeBlois
